invoice_id,po_id,vendor,description,date,amount,status
INV-2024-0001,PO-2024-0001,Oscar Equipment,Equipment maintenance,2024-03-20,2674.83,Approved
INV-2024-0002,PO-2024-0002,Delta Supply Co,Utilities payment,2024-01-30,1614.98,Approved
INV-2024-0003,PO-2024-0003,Mike Construction,Construction materials,2024-03-06,5119.61,Approved
INV-2024-0004,PO-2024-0004,Acme Corporation,Software licensing fees,2024-01-14,816.33,Approved
INV-2024-0005,PO-2024-0005,Golf Solutions,Marketing services,2024-02-10,1208.76,Approved
INV-2024-0006,PO-2024-0006,Papa Materials,Construction materials,2024-02-14,835.8,Approved
INV-2024-0007,PO-2024-0007,Papa Materials,Equipment maintenance,2024-02-15,613.03,Approved
INV-2024-0008,PO-2024-0008,Foxtrot Industries,Equipment maintenance,2024-03-17,402.58,Approved
INV-2024-0009,PO-2024-0009,India Manufacturing,Construction materials,2024-02-08,959.35,Approved
INV-2024-0010,PO-2024-0010,India Manufacturing,Utilities payment,2024-02-11,602.87,Approved
INV-2024-0011,PO-2024-0011,Kilo Logistics,Legal consulting fees,2024-01-22,508.11,Approved
INV-2024-0012,PO-2024-0012,Foxtrot Industries,Equipment maintenance,2024-02-29,1074.61,Approved
INV-2024-0013,PO-2024-0013,November Software,IT infrastructure setup,2024-01-21,352.5,Approved
INV-2024-0014,PO-2024-0014,Foxtrot Industries,Utilities payment,2024-01-21,296.48,Approved
INV-2024-0015,PO-2024-0015,Juliet Consulting,Consulting services,2024-03-09,559.78,Approved
INV-2024-0016,PO-2024-0016,Mike Construction,Office supplies and equipment,2024-02-24,571.81,Pending
INV-2024-0017,PO-2024-0017,Papa Materials,Equipment maintenance,2024-01-03,5267.04,Approved
INV-2024-0018,PO-2024-0018,Oscar Equipment,Equipment maintenance,2024-01-08,5056.12,Approved
INV-2024-0019,PO-2024-0019,Mike Construction,Consulting services,2024-03-25,5202.42,Approved
INV-2024-0020,PO-2024-0020,Oscar Equipment,Construction materials,2024-01-12,5220.39,Pending
INV-2024-0021,PO-2024-0021,Acme Corporation,Raw materials procurement,2024-03-01,349.97,Approved
INV-2024-0022,PO-2024-0022,Acme Corporation,Equipment maintenance,2024-03-18,742.66,Approved
INV-2024-0023,PO-2024-0023,Kilo Logistics,Marketing services,2024-03-28,2573.73,Pending
INV-2024-0024,PO-2024-0024,Hotel Services,Raw materials procurement,2024-01-07,1616.93,Pending
INV-2024-0025,PO-2024-0025,Papa Materials,Consulting services,2024-01-14,635.12,Approved
INV-2024-0026,PO-2024-0026,Lima Retail,Software licensing fees,2024-03-05,2641.95,Approved
INV-2024-0027,PO-2024-0027,Foxtrot Industries,Office supplies and equipment,2024-02-26,418.29,Pending
INV-2024-0028,PO-2024-0028,Kilo Logistics,Vehicle maintenance,2024-03-09,697.88,Approved
INV-2024-0029,PO-2024-0029,India Manufacturing,Equipment maintenance,2024-01-23,756.9,Approved
INV-2024-0030,PO-2024-0030,Foxtrot Industries,Equipment maintenance,2024-02-21,431.78,Approved
INV-2024-0031,PO-2024-0031,Delta Supply Co,Marketing services,2024-02-22,1771.42,Approved
INV-2024-0032,PO-2024-0032,Kilo Logistics,Utilities payment,2024-02-01,182.14,Approved
INV-2024-0033,PO-2024-0033,Papa Materials,Utilities payment,2024-02-20,279.59,Approved
INV-2024-0034,PO-2024-0034,Delta Supply Co,IT infrastructure setup,2024-02-15,293.03,Approved
INV-2024-0035,PO-2024-0035,Delta Supply Co,Accounting services,2024-03-11,405.5,Approved
INV-2024-0036,PO-2024-0036,India Manufacturing,Vehicle maintenance,2024-03-06,894.02,Approved
INV-2024-0037,PO-2024-0037,Hotel Services,Legal consulting fees,2024-01-02,441.56,Approved
INV-2024-0038,PO-2024-0038,India Manufacturing,Marketing services,2024-01-24,5176.47,Approved
INV-2024-0039,PO-2024-0039,Juliet Consulting,Equipment maintenance,2024-03-16,1231.18,Approved
INV-2024-0040,PO-2024-0040,November Software,Equipment maintenance,2024-03-08,1574.82,Pending
INV-2024-0041,PO-2024-0041,Beta Systems Inc,Legal consulting fees,2024-02-10,219.05,Approved
INV-2024-0042,PO-2024-0042,Kilo Logistics,Construction materials,2024-02-01,272.46,Approved
INV-2024-0043,PO-2024-0043,Echo Partners LLC,Raw materials procurement,2024-02-22,749.57,Approved
INV-2024-0044,PO-2024-0044,Papa Materials,Consulting services,2024-03-18,618.33,Approved
INV-2024-0045,PO-2024-0045,November Software,Office supplies and equipment,2024-01-28,1500.62,Approved
INV-2024-0046,PO-2024-0046,Mike Construction,Software licensing fees,2024-02-04,282.48,Approved
INV-2024-0047,PO-2024-0047,Lima Retail,Raw materials procurement,2024-02-27,933.33,Approved
INV-2024-0048,PO-2024-0048,Gamma Technologies,Office supplies and equipment,2024-03-11,2670.43,Pending
INV-2024-0049,PO-2024-0049,Juliet Consulting,Software licensing fees,2024-02-21,486.34,Pending
INV-2024-0050,PO-2024-0050,Hotel Services,Vehicle maintenance,2024-03-14,2656.49,Approved
INV-2024-0051,PO-2024-0051,Oscar Equipment,Legal consulting fees,2024-03-01,1639.05,Approved
INV-2024-0052,PO-2024-0052,Echo Partners LLC,Legal consulting fees,2024-02-21,796.89,Approved
INV-2024-0053,PO-2024-0053,Foxtrot Industries,Raw materials procurement,2024-02-01,116.65,Approved
INV-2024-0054,PO-2024-0054,Lima Retail,Legal consulting fees,2024-03-13,5027.89,Approved
INV-2024-0055,PO-2024-0055,Echo Partners LLC,Equipment maintenance,2024-02-14,737.14,Approved
INV-2024-0056,PO-2024-0056,Foxtrot Industries,Equipment maintenance,2024-02-05,346.78,Approved
INV-2024-0057,PO-2024-0057,Mike Construction,IT infrastructure setup,2024-02-13,929.54,Approved
INV-2024-0058,PO-2024-0058,Golf Solutions,Legal consulting fees,2024-03-07,994.11,Approved
INV-2024-0059,PO-2024-0059,Golf Solutions,Consulting services,2024-01-03,1677.11,Pending
INV-2024-0060,PO-2024-0060,Hotel Services,Software licensing fees,2024-02-18,122.53,Approved
INV-2024-0061,PO-2024-0061,Beta Systems Inc,Construction materials,2024-03-10,1178.9,Approved
INV-2024-0062,PO-2024-0062,Oscar Equipment,Construction materials,2024-03-25,336.52,Approved
INV-2024-0063,PO-2024-0063,Hotel Services,Consulting services,2024-03-22,5127.53,Approved
INV-2024-0064,PO-2024-0064,Foxtrot Industries,IT infrastructure setup,2024-02-16,319.06,Approved
INV-2024-0065,PO-2024-0065,Kilo Logistics,IT infrastructure setup,2024-02-04,5139.07,Approved
INV-2024-0066,PO-2024-0066,Delta Supply Co,Legal consulting fees,2024-03-28,5064.64,Approved
INV-2024-0067,PO-2024-0067,Lima Retail,Legal consulting fees,2024-01-06,312.02,Approved
INV-2024-0068,PO-2024-0068,Papa Materials,Equipment maintenance,2024-03-02,616.09,Pending
INV-2024-0069,PO-2024-0069,Golf Solutions,IT infrastructure setup,2024-02-29,808.33,Approved
INV-2024-0070,PO-2024-0070,Beta Systems Inc,Raw materials procurement,2024-01-05,311.72,Approved
INV-2024-0071,PO-2024-0071,Foxtrot Industries,Office supplies and equipment,2024-01-07,2613.17,Pending
INV-2024-0072,PO-2024-0072,Acme Corporation,Legal consulting fees,2024-01-08,362.26,Approved
INV-2024-0073,PO-2024-0073,Delta Supply Co,Office supplies and equipment,2024-03-21,1650.23,Pending
INV-2024-0074,PO-2024-0074,Foxtrot Industries,Construction materials,2024-01-05,159.58,Approved
INV-2024-0075,PO-2024-0075,India Manufacturing,Construction materials,2024-01-03,1729.21,Approved
INV-2024-0076,PO-2024-0076,Oscar Equipment,Software licensing fees,2024-01-31,2615.98,Approved
INV-2024-0077,PO-2024-0077,Oscar Equipment,Consulting services,2024-03-13,1101.63,Approved
INV-2024-0078,PO-2024-0078,Lima Retail,Raw materials procurement,2024-01-01,2600.14,Approved
INV-2024-0079,PO-2024-0079,Lima Retail,IT infrastructure setup,2024-01-30,5243.42,Approved
INV-2024-0080,PO-2024-0080,Oscar Equipment,Vehicle maintenance,2024-02-21,474.36,Approved
INV-2024-0081,PO-2024-0081,Mike Construction,Office supplies and equipment,2024-02-20,1469.63,Approved
INV-2024-0082,PO-2024-0082,November Software,IT infrastructure setup,2024-02-08,1062.34,Approved
INV-2024-0083,PO-2024-0083,Beta Systems Inc,Software licensing fees,2024-03-28,405.02,Pending
INV-2024-0084,PO-2024-0084,Golf Solutions,Vehicle maintenance,2024-02-06,370.95,Approved
INV-2024-0085,PO-2024-0085,Papa Materials,Software licensing fees,2024-01-17,2633.49,Approved
INV-2024-0086,PO-2024-0086,November Software,Marketing services,2024-01-21,610.12,Approved
INV-2024-0087,PO-2024-0087,Beta Systems Inc,Equipment maintenance,2024-01-15,655.37,Approved
INV-2024-0088,PO-2024-0088,Mike Construction,Raw materials procurement,2024-03-29,2533.1,Approved
INV-2024-0089,PO-2024-0089,Acme Corporation,Legal consulting fees,2024-02-25,979.01,Approved
INV-2024-0090,PO-2024-0090,Golf Solutions,Consulting services,2024-03-27,238.03,Approved
INV-2024-0091,PO-2024-0091,Foxtrot Industries,Legal consulting fees,2024-03-04,1123.3,Approved
INV-2024-0092,PO-2024-0092,November Software,Legal consulting fees,2024-02-01,1026.66,Approved
INV-2024-0093,PO-2024-0093,Hotel Services,Accounting services,2024-03-31,1201.4,Approved
INV-2024-0094,PO-2024-0094,Oscar Equipment,Raw materials procurement,2024-03-06,296.76,Pending
INV-2024-0095,PO-2024-0095,Foxtrot Industries,Consulting services,2024-03-29,256.75,Approved
INV-2024-0096,PO-2024-0096,Kilo Logistics,IT infrastructure setup,2024-02-28,1619.47,Approved
INV-2024-0097,PO-2024-0097,Oscar Equipment,IT infrastructure setup,2024-01-09,1061.68,Approved
INV-2024-0098,PO-2024-0098,Papa Materials,Office supplies and equipment,2024-02-18,902.19,Approved
INV-2024-0099,PO-2024-0099,Acme Corporation,Software licensing fees,2024-01-14,848.37,Approved
INV-2024-0100,PO-2024-0100,Golf Solutions,Vehicle maintenance,2024-03-20,347.11,Approved
INV-2024-0101,PO-2024-0101,Lima Retail,Equipment maintenance,2024-01-26,1131.58,Approved
INV-2024-0102,PO-2024-0102,Lima Retail,Vehicle maintenance,2024-02-10,5187.2,Approved
INV-2024-0103,PO-2024-0103,Papa Materials,Vehicle maintenance,2024-03-23,5056.25,Approved
INV-2024-0104,PO-2024-0104,Golf Solutions,Equipment maintenance,2024-03-09,383.91,Approved
INV-2024-0105,PO-2024-0105,Juliet Consulting,IT infrastructure setup,2024-03-24,1637.34,Approved
INV-2024-0106,PO-2024-0106,November Software,Construction materials,2024-02-11,1487.27,Approved
INV-2024-0107,PO-2024-0107,Echo Partners LLC,Construction materials,2024-03-05,1126.17,Approved
INV-2024-0108,PO-2024-0108,Acme Corporation,Consulting services,2024-03-06,464.68,Approved
INV-2024-0109,PO-2024-0109,Mike Construction,Vehicle maintenance,2024-01-11,247.57,Approved
INV-2024-0110,PO-2024-0110,Acme Corporation,Office supplies and equipment,2024-01-22,876.78,Approved
INV-2024-0111,PO-2024-0111,November Software,Utilities payment,2024-03-09,5036.49,Approved
INV-2024-0112,PO-2024-0112,Echo Partners LLC,Construction materials,2024-03-14,277.09,Pending
INV-2024-0113,PO-2024-0113,Papa Materials,IT infrastructure setup,2024-01-04,143.75,Approved
INV-2024-0114,PO-2024-0114,Beta Systems Inc,Marketing services,2024-02-14,5245.29,Pending
INV-2024-0115,PO-2024-0115,Beta Systems Inc,Legal consulting fees,2024-01-19,441.26,Approved
INV-2024-0116,PO-2024-0116,Mike Construction,Utilities payment,2024-02-06,795.89,Pending
INV-2024-0117,PO-2024-0117,India Manufacturing,Marketing services,2024-01-01,698.24,Pending
INV-2024-0118,PO-2024-0118,Lima Retail,Construction materials,2024-01-29,546.0,Approved
INV-2024-0119,PO-2024-0119,India Manufacturing,Accounting services,2024-01-02,1073.04,Approved
INV-2024-0120,PO-2024-0120,Kilo Logistics,Marketing services,2024-01-16,2521.59,Approved
INV-2024-0121,PO-2024-0121,Papa Materials,Consulting services,2024-02-09,759.37,Approved
INV-2024-0122,PO-2024-0122,Gamma Technologies,Utilities payment,2024-03-26,665.91,Approved
INV-2024-0123,PO-2024-0123,Oscar Equipment,Raw materials procurement,2024-01-22,258.67,Approved
INV-2024-0124,PO-2024-0124,Kilo Logistics,Construction materials,2024-03-27,2683.82,Approved
INV-2024-0125,PO-2024-0125,Lima Retail,Office supplies and equipment,2024-03-29,962.36,Approved
INV-2024-0126,PO-2024-0126,India Manufacturing,Utilities payment,2024-02-09,478.81,Approved
INV-2024-0127,PO-2024-0127,Hotel Services,Utilities payment,2024-03-31,2647.88,Approved
INV-2024-0128,PO-2024-0128,Mike Construction,Utilities payment,2024-01-13,1636.23,Approved
INV-2024-0129,PO-2024-0129,India Manufacturing,Utilities payment,2024-01-12,5128.21,Approved
INV-2024-0130,PO-2024-0130,Juliet Consulting,Consulting services,2024-01-30,5146.37,Approved
INV-2024-0131,PO-2024-0131,Juliet Consulting,Raw materials procurement,2024-01-31,125.75,Pending
INV-2024-0132,PO-2024-0132,November Software,Office supplies and equipment,2024-01-28,372.59,Approved
INV-2024-0133,PO-2024-0133,Delta Supply Co,Office supplies and equipment,2024-01-05,4984.05,Approved
INV-2024-0134,PO-2024-0134,Hotel Services,Raw materials procurement,2024-01-26,1189.44,Approved
INV-2024-0135,PO-2024-0135,Papa Materials,Equipment maintenance,2024-03-14,5097.17,Approved
INV-2024-0136,PO-2024-0136,Delta Supply Co,IT infrastructure setup,2024-01-17,801.29,Approved
INV-2024-0137,PO-2024-0137,Echo Partners LLC,Vehicle maintenance,2024-02-09,1505.54,Approved
INV-2024-0138,PO-2024-0138,Foxtrot Industries,Consulting services,2024-02-13,610.2,Approved
INV-2024-0139,PO-2024-0139,Juliet Consulting,Construction materials,2024-01-21,1606.93,Approved
INV-2024-0140,PO-2024-0140,Golf Solutions,Office supplies and equipment,2024-03-19,1177.09,Approved
INV-2024-0141,PO-2024-0141,Juliet Consulting,Legal consulting fees,2024-01-05,773.14,Pending
INV-2024-0142,PO-2024-0142,Acme Corporation,Equipment maintenance,2024-03-01,913.49,Pending
INV-2024-0143,PO-2024-0143,November Software,IT infrastructure setup,2024-01-20,901.03,Pending
INV-2024-0144,PO-2024-0144,Acme Corporation,Office supplies and equipment,2024-01-27,1597.48,Approved
INV-2024-0145,PO-2024-0145,Kilo Logistics,Legal consulting fees,2024-03-15,2487.62,Approved
INV-2024-0146,PO-2024-0146,Golf Solutions,IT infrastructure setup,2024-02-19,5184.41,Approved
INV-2024-0147,PO-2024-0147,Foxtrot Industries,Legal consulting fees,2024-01-08,838.54,Approved
INV-2024-0148,PO-2024-0148,India Manufacturing,Construction materials,2024-01-21,1656.37,Approved
INV-2024-0149,PO-2024-0149,November Software,Construction materials,2024-01-13,948.68,Approved
INV-2024-0150,PO-2024-0150,Kilo Logistics,Accounting services,2024-03-26,627.9,Approved
INV-2024-0151,PO-2024-0151,Oscar Equipment,Marketing services,2024-01-06,378.72,Approved
INV-2024-0152,PO-2024-0152,Foxtrot Industries,Marketing services,2024-03-02,2679.28,Approved
INV-2024-0153,PO-2024-0153,Echo Partners LLC,Construction materials,2024-01-27,5013.47,Approved
INV-2024-0154,PO-2024-0154,Foxtrot Industries,Consulting services,2024-03-21,192.09,Approved
INV-2024-0155,PO-2024-0155,Oscar Equipment,Accounting services,2024-02-06,1145.6,Approved
INV-2024-0156,PO-2024-0156,Foxtrot Industries,Software licensing fees,2024-02-10,229.65,Pending
INV-2024-0157,PO-2024-0157,Papa Materials,Office supplies and equipment,2024-01-25,1480.7,Approved
INV-2024-0158,PO-2024-0158,Foxtrot Industries,Marketing services,2024-02-19,960.14,Pending
INV-2024-0159,PO-2024-0159,Juliet Consulting,Utilities payment,2024-01-27,498.66,Approved
INV-2024-0160,PO-2024-0160,Beta Systems Inc,Utilities payment,2024-02-08,788.41,Approved
INV-2024-0161,PO-2024-0161,Beta Systems Inc,Equipment maintenance,2024-01-16,5136.25,Approved
INV-2024-0162,PO-2024-0162,November Software,IT infrastructure setup,2024-03-22,147.52,Approved
INV-2024-0163,PO-2024-0163,Juliet Consulting,Legal consulting fees,2024-01-03,5218.37,Pending
INV-2024-0164,PO-2024-0164,Mike Construction,Software licensing fees,2024-03-14,1075.11,Approved
INV-2024-0165,PO-2024-0165,Gamma Technologies,Legal consulting fees,2024-02-23,1209.55,Pending
INV-2024-0166,PO-2024-0166,Delta Supply Co,Construction materials,2024-01-16,126.75,Approved
INV-2024-0167,PO-2024-0167,Delta Supply Co,Legal consulting fees,2024-02-10,158.54,Approved
INV-2024-0168,PO-2024-0168,Gamma Technologies,Software licensing fees,2024-02-21,415.16,Approved
INV-2024-0169,PO-2024-0169,November Software,Construction materials,2024-01-31,747.82,Approved
INV-2024-0170,PO-2024-0170,Hotel Services,Legal consulting fees,2024-02-12,784.08,Pending
INV-2024-0171,PO-2024-0171,Oscar Equipment,Raw materials procurement,2024-01-07,2627.36,Approved
INV-2024-0172,PO-2024-0172,Acme Corporation,Equipment maintenance,2024-03-21,1579.69,Approved
INV-2024-0173,PO-2024-0173,Oscar Equipment,Raw materials procurement,2024-02-05,286.93,Approved
INV-2024-0174,PO-2024-0174,Acme Corporation,Legal consulting fees,2024-01-30,2505.9,Approved
INV-2024-0175,PO-2024-0175,Kilo Logistics,Software licensing fees,2024-01-15,1295.09,Approved
INV-2024-0176,PO-2024-0176,Oscar Equipment,Marketing services,2024-02-13,757.96,Approved
INV-2024-0177,PO-2024-0177,Echo Partners LLC,Consulting services,2024-02-29,2595.42,Approved
INV-2024-0178,PO-2024-0178,Echo Partners LLC,Accounting services,2024-01-29,747.32,Approved
INV-2024-0179,PO-2024-0179,November Software,Marketing services,2024-02-15,326.74,Pending
INV-2024-0180,PO-2024-0180,Juliet Consulting,Vehicle maintenance,2024-01-13,384.45,Approved
INV-2024-0181,PO-2024-0181,November Software,Software licensing fees,2024-02-11,2609.96,Pending
INV-2024-0182,PO-2024-0182,Papa Materials,Office supplies and equipment,2024-01-16,326.15,Approved
INV-2024-0183,PO-2024-0183,Mike Construction,Equipment maintenance,2024-02-28,219.78,Approved
INV-2024-0184,PO-2024-0184,Gamma Technologies,Accounting services,2024-03-17,711.9,Approved
INV-2024-0185,PO-2024-0185,Acme Corporation,Raw materials procurement,2024-02-10,905.43,Approved
INV-2024-0186,PO-2024-0186,Beta Systems Inc,Utilities payment,2024-01-30,446.16,Approved
INV-2024-0187,PO-2024-0187,Kilo Logistics,Construction materials,2024-01-01,1695.05,Approved
INV-2024-0188,PO-2024-0188,Gamma Technologies,Construction materials,2024-03-14,852.38,Approved
INV-2024-0189,PO-2024-0189,Papa Materials,Equipment maintenance,2024-03-23,289.09,Approved
INV-2024-0190,PO-2024-0190,Lima Retail,Marketing services,2024-03-06,2768.23,Approved
INV-2024-0191,PO-2024-0191,Mike Construction,Utilities payment,2024-03-06,5150.61,Approved
INV-2024-0192,PO-2024-0192,Gamma Technologies,Office supplies and equipment,2024-03-21,313.09,Approved
INV-2024-0193,PO-2024-0193,Juliet Consulting,IT infrastructure setup,2024-02-01,5132.14,Approved
INV-2024-0194,PO-2024-0194,Echo Partners LLC,Utilities payment,2024-03-06,925.28,Approved
INV-2024-0195,PO-2024-0195,Papa Materials,IT infrastructure setup,2024-03-09,1687.54,Approved
INV-2024-0196,PO-2024-0196,Echo Partners LLC,Utilities payment,2024-02-10,359.09,Approved
INV-2024-0197,PO-2024-0197,Acme Corporation,Equipment maintenance,2024-02-29,881.18,Approved
INV-2024-0198,PO-2024-0198,Mike Construction,Vehicle maintenance,2024-02-18,343.71,Pending
INV-2024-0199,PO-2024-0199,Foxtrot Industries,Marketing services,2024-02-17,242.21,Approved
INV-2024-0200,PO-2024-0200,India Manufacturing,Marketing services,2024-01-15,330.01,Approved
